no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online
1,0,1,3,0,2.705467314646658,0,0,0,13.744010084675356,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,2,5,0,11.52431214790454,0,0,0,11.676101067374976,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,13.054077111527787,0,0,0,12.719793551775203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,2.424863699619117,0,0,0,14.263888404621554,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,7.891930731534395,0,0,0,9.753931099158653,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,1,0,0,3.983613050709453,0,0,0,11.740294041450243,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,10.547558733898498,0,0,0,14.232606071670448,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,12.070896159586619,0,0,0,12.069057093898765,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,11.253778246174209,0,0,0,12.016091346611054,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,6.983868242305268,0,0,0,13.485374274951354,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,3,0,9.901860160206548,0,0,0,12.346359962714457,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,2,0,1,1,0.7825566810065498,0,0,0,18.837564621273923,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,3,0,4.90268147343466,0,0,0,13.461152351564541,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2,0,13.730118711679468,0,0,0,12.098346713373525,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,1,0,9.901860160206548,0,0,0,10.841756183289997,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,6.168335789554839,0,0,0,15.192282428594924,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,13.355233609116262,0,0,0,12.254873069358993,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,5.75165477138973,0,0,0,14.509407183192957,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,1,0,8.161950459171436,0,0,0,11.173804142108077,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,9.288840809365936,0,0,0,11.524436072744049,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,12.209829622740944,0,0,0,12.386096521868524,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,0,0,6.548825866563435,0,0,0,11.67916867686006,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,1,1,6.168335789554839,0,0,0,13.59812064409558,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,13.29593354631596,0,0,0,12.386096521868524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,6.548825866563435,0,0,0,10.841756183289997,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,1,4,0,4.764791365422229,0,0,0,13.291941682314608,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,1,1,0,15.611087183759484,0,0,0,13.530628891078397,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,2,0,8.724068355620622,0,0,0,13.036632978875005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,5,0,12.611411031314674,0,0,0,13.533136899673336,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,5,0,7.533367617780273,0,0,0,10.841756183289997,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,0,2,0,9.75434377174095,0,0,0,15.26882159409961,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,5,0,11.674272041747964,0,0,0,14.058098630121393,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,0,0,5.035730628699913,0,0,0,11.67916867686006,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,7.066263432302386,0,0,0,12.319011004205123,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,2,1,7.533367617780273,0,0,0,12.289289345425365,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,0,0,0.009966240381495555,0,0,0,14.8673590876107,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,13.841988217954848,0,0,0,12.159543573862733,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,13.616655478357089,0,0,0,13.948082764353595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,4.621599924877713,1,0,5,12.098346713373525,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,12.312307656098815,0,0,0,13.123892162031593,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2,0,1,3,0,10.972020282990258,0,0,0,12.475154549857537,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,2,1,8.956706451254403,0,0,0,12.681479337306826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,9.234788255740035,0,0,0,13.240388072550184,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,1,0,10.186726045375885,0,0,0,14.84093164029493,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,5,0,13.115257795682789,0,0,0,13.020248332963778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,2,1,11.893358085412604,0,0,0,13.972101853266455,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,16.731856421472443,0,0,0,13.198944996415953,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,11.293086978017335,0,0,0,11.858268230462562,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,6.168335789554839,0,0,0,10.914620940498411,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,1,3,0,6.168335789554839,0,0,0,15.166648254548907,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,1,0,0,13.645173779486752,0,0,0,11.524436072744049,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,1,2,0,8.161950459171436,0,0,0,15.26882159409961,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,4,0,8.161950459171436,0,0,0,10.828191057640566,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,4.472572688289471,0,0,0,12.098346713373525,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,5.526806807483507,0,0,0,12.774255490528557,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,2.9600540602360894,0,0,0,10.059217397725545,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,1,3.4106889600910395,0,0,0,11.363674879718063,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,-2.4047385239985353,0,0,0,15.085067886430467,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,1,0,3.803671935308651,0,0,0,12.48076198639093,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,6.362619049624176,0,0,0,12.069057093898765,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,13.443346022004066,0,0,0,13.34833381772365,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0.009966240381495555,0,0,0,13.802744526019437,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,11.448098121369412,0,0,0,13.255883199823716,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,7.066263432302386,0,0,0,13.34833381772365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,0,11.214240753087424,0,0,0,16.27796385340164,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0,2,2,1,11.486310303809848,0,0,0,15.115195965948072,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,2,5,0,7.066263432302386,0,0,0,14.221377091955858,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,1,2,5,0,10.763221518140034,0,0,0,12.545001840613176,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,18.916167599774784,0,0,0,10.133668720465554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,0.7825566810065498,0,0,0,12.554460104409005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,16.67193457842599,0,0,0,12.73071148329552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,16.028927170441566,0,0,0,9.636181974222648,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,8.956706451254403,0,0,0,10.77028560142597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,12.379834560583618,0,0,0,12.681479337306826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,0,0,8.956706451254403,0,0,0,14.100823630942163,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,6.168335789554839,0,0,0,11.524436072744049,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,4.154392429372679,0,0,0,13.041912311089083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,0,2,0,10.972020282990258,0,0,0,16.529061412269687,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,2,3,0,11.253778246174209,0,0,0,12.935761747629307,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,0,9.853081807484557,0,0,0,11.890059974897339,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,0.009966240381495555,0,0,0,14.185736796518551,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,5.6407572737309595,0,0,0,13.899871237599838,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,4,0,16.093163293308233,0,0,0,10.534419200395515,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,5.965050258895251,0,0,0,10.841756183289997,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,4,0,9.603161764587373,0,0,0,10.653217466304167,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,3.6132483604972085,0,0,0,15.085067886430467,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,1,1,0,0,12.835991735395682,0,0,0,13.530628891078397,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,5,0,12.611411031314674,0,0,0,11.858268230462562,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2,2,0,9.704368135318235,0,0,0,12.917061991792691,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,4,0,5.859693918529069,0,0,0,14.542129833631224,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,2,0,3.983613050709453,0,0,0,11.800992718260904,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,15.101230422560624,0,0,0,10.841756183289997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,3.6132483604972085,0,0,0,12.988986079671829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,15.588543706484083,0,0,0,11.59905478404533,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,6.983868242305268,0,0,0,13.34833381772365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,11.05373557824367,0,0,0,12.475154549857537,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,9.998273575448708,0,0,0,9.667764043186724,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,8.227359265577123,0,0,0,13.455087445773929,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,9.234788255740035,0,0,0,12.779684203101484,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,1,0,9.603161764587373,0,0,0,13.797863238383803,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,11.748060997894115,0,0,0,14.394976953500777,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,3,0,9.013407104307369,0,0,0,11.222484661920577,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,15.745158167117888,0,0,0,12.882234902847564,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,8.161950459171436,0,0,0,12.60990090378679,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,3,0,1.750018771384625,1,1,5,10.133668720465554,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,10.414625653509223,0,0,0,14.436318007857134,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,3,0,7.382523458369656,0,0,0,10.841756183289997,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,6.266541086841171,0,0,0,12.069057093898765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,-2.4047385239985353,0,0,0,12.882234902847564,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,8.60403245541774,0,0,0,12.66501035020906,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,9.901860160206548,0,0,0,12.825701190784523,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,2,2,0,1.322020010631007,0,0,0,17.43249938294498,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,1,1,0,13.86971299562132,0,0,0,11.524436072744049,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,12.209829622740944,0,0,0,12.681479337306826,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,5.4095867131092445,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,2.9600540602360894,0,0,0,15.12808215011518,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2,0,3.983613050709453,0,0,0,10.71540606911316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,15.899069364006051,0,0,0,12.935761747629307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,0,0,3.6132483604972085,0,0,0,11.642285371465402,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,16.67193457842599,0,0,0,13.455087445773929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,13.530477793792672,0,0,0,11.121563618166812,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,12.772509391185919,0,0,0,11.858268230462562,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,10.720655759790066,0,0,0,11.890059974897339,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,1,0,3.6132483604972085,0,0,0,14.8673590876107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0.7825566810065498,0,0,0,11.740294041450243,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,4.154392429372679,0,0,0,11.88706566718739,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,5.288854709387413,0,0,0,14.417964664243126,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,2,5,0,6.814672810770127,0,0,0,11.66566305519393,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,16.156948270032782,0,0,0,13.198944996415953,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,3.6132483604972085,0,0,0,11.228954069170506,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,9.901860160206548,0,0,0,11.331793129739347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,10.930783959355134,0,0,0,12.828401026712966,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,9.180230666789404,0,0,0,12.174052713891696,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,5,0,13.841988217954848,0,0,0,12.354889605244667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,8.227359265577123,0,0,0,14.436318007857134,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,3,0,13.645173779486752,0,0,0,10.653217466304167,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,0,11.599696120531032,0,0,0,13.75382334055293,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,3,0,16.387089796879913,0,0,0,11.042582340951169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2,2,0,9.653977015499429,0,0,0,14.716720508611221,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,2,0,8.095729274309582,0,0,0,13.394229346070682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,4.317083682884964,0,0,0,14.645077630971892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,9.901860160206548,0,0,0,11.466785065809137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,12.804317488828154,0,0,0,13.948082764353595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,4,10,0,12.346149077409263,0,0,0,13.398298443901762,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,2,0,10.186726045375885,0,0,0,12.471788435879963,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,9.95025495863329,0,0,0,12.386096521868524,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,2,1,0,10.930783959355134,0,0,0,9.596514486483938,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,11.637083748820116,0,0,0,9.869858999183823,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,18.50914180150958,0,0,0,12.774255490528557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,12.643909980330905,0,0,0,11.636122821547998,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,9.603161764587373,0,0,0,10.942783035720874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,14.248197534363127,0,0,0,10.040491413104817,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,15.745158167117888,0,0,0,12.098346713373525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,8.355835442431552,0,0,0,10.841756183289997,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,18.755277133149622,0,0,0,10.495602857027512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,11.013002880665884,0,0,0,12.475154549857537,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,6.548825866563435,0,0,0,11.49315225239375,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,4,0,4.621599924877713,0,0,0,12.294440481015224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,2.424863699619117,0,0,0,12.723616287494872,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,6.362619049624176,0,0,0,12.66501035020906,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,1.750018771384625,0,0,0,14.645077630971892,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,1,0,13.814167236221868,0,0,0,12.721432059736875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,11.332170194010946,0,0,0,13.162534614518833,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,3.983613050709453,0,0,0,11.67916867686006,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,8.418947906524169,0,0,0,11.755508409158647,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,2,5,0,9.500222811084415,0,0,0,11.575495577670603,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,3,0,17.025878607967268,0,0,0,11.800992718260904,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
